epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7507,1.23496,1.51491,1.13948,0.32549,0.67003,0.41415,0.23819,1.25198,1.06716,1.13969,0.000276278,0.000276278,0.000276278
2,38.5171,1.11306,0.99312,1.07694,0.38592,0.84225,0.52434,0.32584,1.08444,0.90592,1.03569,0.000542977,0.000542977,0.000542977
3,56.5387,1.10347,0.95431,1.07527,0.45689,0.80903,0.53287,0.3393,1.04936,0.87859,1.02367,0.00079868,0.00079868,0.00079868
4,76.9474,1.08891,0.92163,1.0485,0.47481,0.73266,0.52311,0.34021,1.05716,0.87272,1.02546,0.00078352,0.00078352,0.00078352
5,97.7996,1.0604,0.88843,1.03086,0.49167,0.80368,0.57984,0.37023,1.03733,0.85048,1.01544,0.000767026,0.000767026,0.000767026
6,117.551,1.06351,0.88208,1.04461,0.49595,0.75478,0.56109,0.35777,1.04773,0.83925,1.02177,0.000750533,0.000750533,0.000750533
7,137.158,1.05002,0.86247,1.03959,0.49158,0.713,0.54771,0.3583,1.05895,0.84414,1.04307,0.00073404,0.00073404,0.00073404
8,157.263,1.04121,0.85518,1.01909,0.51812,0.84236,0.55519,0.35892,1.03989,0.85225,1.01412,0.000717546,0.000717546,0.000717546
9,177.639,1.02533,0.8426,1.01111,0.54879,0.8127,0.62069,0.40159,0.994,0.80621,0.99921,0.000701053,0.000701053,0.000701053
10,198.088,0.99851,0.82775,1.01785,0.55445,0.85154,0.64367,0.42377,0.99428,0.80485,1.00226,0.000684559,0.000684559,0.000684559
11,218.983,0.99989,0.8287,1.00831,0.46507,0.81251,0.53943,0.35689,0.98326,0.8052,0.99261,0.000668066,0.000668066,0.000668066
12,238.792,1.0025,0.82819,1.00665,0.56356,0.80188,0.63769,0.4237,1.00281,0.80182,0.99689,0.000651573,0.000651573,0.000651573
13,259.4,0.98811,0.81508,1.00428,0.50055,0.81244,0.59217,0.39576,0.99479,0.79673,1.00448,0.000635079,0.000635079,0.000635079
14,278.835,0.98616,0.81457,1.0023,0.55944,0.83968,0.63578,0.41641,1.00132,0.8013,0.99557,0.000618586,0.000618586,0.000618586
15,296.659,0.97947,0.80375,0.9978,0.54983,0.85839,0.64412,0.43133,0.97073,0.78841,0.99105,0.000602092,0.000602092,0.000602092
16,316.862,0.96706,0.79494,0.99559,0.55613,0.80321,0.60054,0.38045,0.99957,0.81938,0.99253,0.000585599,0.000585599,0.000585599
17,336.939,0.95869,0.78859,0.98996,0.49269,0.74751,0.57905,0.38713,0.98592,0.78915,1.00135,0.000569106,0.000569106,0.000569106
18,357.766,0.96363,0.78718,0.99011,0.55447,0.86411,0.69425,0.46178,0.98212,0.76659,0.99418,0.000552612,0.000552612,0.000552612
19,377.44,0.95887,0.78475,0.98272,0.57073,0.81866,0.66687,0.44006,0.97917,0.77819,0.98985,0.000536119,0.000536119,0.000536119
20,397.646,0.95026,0.77392,0.98657,0.55456,0.87511,0.6197,0.4049,0.9886,0.83369,0.99082,0.000519625,0.000519625,0.000519625
21,418.903,0.95374,0.77823,0.98577,0.55326,0.84387,0.67585,0.44552,0.98077,0.78055,0.99072,0.000503132,0.000503132,0.000503132
22,440.118,0.93514,0.76397,0.98327,0.67502,0.67392,0.65465,0.44068,0.97373,0.78559,0.9881,0.000486639,0.000486639,0.000486639
23,460.79,0.93506,0.7298,0.97203,0.5555,0.73482,0.67045,0.45246,0.98386,0.73843,0.99639,0.000470145,0.000470145,0.000470145
24,480.642,0.93356,0.69312,0.97852,0.62945,0.83302,0.74007,0.50519,0.97057,0.69667,0.98709,0.000453652,0.000453652,0.000453652
25,501.545,0.92517,0.62475,0.96983,0.6622,0.81009,0.76687,0.51185,0.96907,0.58973,0.98924,0.000437158,0.000437158,0.000437158
26,521.438,0.92317,0.60549,0.97924,0.71281,0.84457,0.79801,0.54224,0.95991,0.49349,0.9887,0.000420665,0.000420665,0.000420665
27,541.908,0.9228,0.59174,0.98358,0.73221,0.8033,0.78583,0.53466,0.96288,0.5648,0.9889,0.000404172,0.000404172,0.000404172
28,562.397,0.91457,0.54064,0.96263,0.82565,0.82837,0.86539,0.59435,0.95917,0.45848,0.98924,0.000387678,0.000387678,0.000387678
29,582.525,0.91322,0.56385,0.96539,0.95368,0.84879,0.92952,0.63429,0.95408,0.43906,0.9866,0.000371185,0.000371185,0.000371185
30,603.278,0.90709,0.53295,0.96177,0.8028,0.88642,0.88349,0.60248,0.95802,0.43777,0.98764,0.000354691,0.000354691,0.000354691
31,623.234,0.91274,0.53691,0.96651,0.83362,0.84822,0.88805,0.61016,0.95696,0.43528,0.99009,0.000338198,0.000338198,0.000338198
32,642.822,0.90561,0.54365,0.96651,0.70327,0.85357,0.83825,0.5758,0.95805,0.47272,0.98712,0.000321705,0.000321705,0.000321705
33,660.677,0.89291,0.50748,0.96434,0.87276,0.86788,0.91413,0.63288,0.94773,0.42952,0.97999,0.000305211,0.000305211,0.000305211
34,680.611,0.89464,0.50789,0.95818,0.80447,0.89288,0.9004,0.60497,0.94558,0.42187,0.98338,0.000288718,0.000288718,0.000288718
35,701.246,0.88476,0.47792,0.95545,0.9244,0.89452,0.94551,0.64601,0.93931,0.39589,0.97952,0.000272224,0.000272224,0.000272224
36,721.533,0.88267,0.47604,0.95211,0.88201,0.83688,0.90586,0.61811,0.94578,0.41272,0.98183,0.000255731,0.000255731,0.000255731
37,741.679,0.87757,0.47399,0.95596,0.85773,0.89392,0.9167,0.62296,0.94525,0.43221,0.98105,0.000239238,0.000239238,0.000239238
38,760.345,0.87838,0.47537,0.9571,0.82165,0.89085,0.91631,0.60896,0.94169,0.39559,0.97805,0.000222744,0.000222744,0.000222744
